Booking_ID,Pickup_Location,Vehicle_Type,Booking_Status,Booking_Value,Driver_Rating
CNR5488574120,Peenya,Auto,Canceled by Driver,783,
CNR8148468821,Marathahalli,Prime Plus,Canceled by Driver,995,
CNR5176704322,KR Puram,Prime Plus,Success,1102,3.1
CNR9287248724,Hosur Road,Prime SUV,Canceled by Driver,170,
CNR7547352327,Hulimavu,Prime Plus,Success,444,3.8
CNR9660405769,Electronic City,eBike,Canceled by Driver,1130,
CNR4251304471,Shivajinagar,Prime SUV,Success,876,4.7
CNR1568684278,Bannerghatta Road,Prime Plus,Success,680,4.7
CNR2230045814,Cox Town,Prime SUV,Success,425,3.5
CNR7871058089,Hennur,Mini,Success,989,4.5
CNR5503358927,Peenya,Bike,Driver Not Found,594,
CNR2708187615,Devanahalli,Prime Plus,Success,443,3.4
CNR1625119636,Ramamurthy Nagar,eBike,Success,721,3.8
CNR9312632867,Tumkur Road,Prime SUV,Success,2936,4.1
CNR5274603340,Electronic City,Prime SUV,Success,747,5.0
CNR1050003752,Chamarajpet,Bike,Success,799,3.9
CNR3603517873,Rajarajeshwari Nagar,eBike,Success,300,3.3
CNR1557960488,Rajarajeshwari Nagar,Prime SUV,Driver Not Found,162,
CNR9758857830,HSR Layout,Prime Plus,Success,618,3.5
CNR8080410192,Jayanagar,eBike,Success,251,5.0
CNR1648186942,Hennur,Bike,Canceled by Driver,543,
CNR2433490646,Hennur,Mini,Success,724,4.5
CNR7825941026,Marathahalli,Mini,Success,316,3.1
CNR9148580255,Tumkur Road,Prime SUV,Success,138,5.0
CNR2946309760,Hosur Road,Prime Plus,Success,467,4.5
CNR3472489570,Electronic City,Prime SUV,Driver Not Found,565,
CNR1768885472,Basavanagudi,Prime SUV,Canceled by Driver,276,
CNR7486448495,Ulsoor,Auto,Success,296,4.0
CNR2735636504,Cox Town,Prime SUV,Driver Not Found,1310,
CNR7533317866,Shantinagar,Mini,Canceled by Customer,771,
CNR5758479139,RT Nagar,Prime Sedan,Success,279,4.3
CNR8021985469,Hosur Road,Mini,Success,321,3.3
CNR3800597072,JP Nagar,Mini,Success,457,4.1
CNR6179425512,Bannerghatta Road,Mini,Success,139,4.9
CNR7924302885,Magadi Road,Auto,Success,685,4.1
CNR7181374756,Devanahalli,Auto,Canceled by Driver,150,
CNR2830899440,Kadugodi,Mini,Success,196,4.3
CNR7592165192,Rajarajeshwari Nagar,Prime SUV,Canceled by Driver,424,
CNR6077524333,Chickpet,Prime SUV,Canceled by Driver,827,
CNR8854206454,Langford Town,eBike,Success,770,3.3
CNR6387231274,Bannerghatta Road,Prime Sedan,Driver Not Found,325,
CNR6215530366,Devanahalli,eBike,Success,986,4.6
CNR4314026109,Tumkur Road,Prime SUV,Success,2208,4.0
CNR9027465661,BTM Layout,Prime Sedan,Success,1695,4.5
CNR5003494701,Sarjapur Road,Mini,Canceled by Driver,305,
CNR2064658821,Peenya,Bike,Success,2271,3.4
CNR2149029235,Chickpet,Auto,Success,240,4.0
CNR9704400677,Langford Town,Mini,Success,482,4.4
CNR8836460204,Bellandur,eBike,Success,536,3.9
CNR3697318609,Sarjapur Road,Bike,Success,188,4.9
CNR6541289543,Frazer Town,Prime SUV,Canceled by Driver,202,
CNR8369601219,Richmond Town,Prime SUV,Canceled by Driver,1609,
CNR8346388703,Magadi Road,Mini,Canceled by Driver,1821,
CNR4445082348,Yelahanka,Mini,Success,415,3.6
CNR5528764313,Ramamurthy Nagar,Prime SUV,Success,2125,3.8
CNR3967141568,Padmanabhanagar,Auto,Canceled by Driver,758,
CNR7054352438,Hennur,Mini,Driver Not Found,653,
CNR1640228587,Kengeri,Prime Sedan,Success,704,4.7
CNR6684033796,Indiranagar,Auto,Success,385,4.1
CNR4158584922,Sahakar Nagar,Auto,Success,934,3.3
CNR5133236273,Banashankari,Prime Plus,Canceled by Driver,615,
CNR5661490576,Magadi Road,Bike,Success,2202,4.7
CNR2304446757,Rajarajeshwari Nagar,eBike,Success,205,4.1
CNR3780555542,Tumkur Road,Mini,Canceled by Customer,513,
CNR1559782157,Ulsoor,Auto,Success,247,3.1
CNR7623690602,Cox Town,Bike,Success,558,3.2
CNR2098165198,Yelahanka,Prime Sedan,Success,291,3.8
CNR5502012579,Vijayanagar,Mini,Success,925,3.0
CNR4698965967,Ramamurthy Nagar,Prime Sedan,Success,121,3.8
CNR8566688320,Chickpet,Bike,Driver Not Found,404,
CNR8014852782,Kammanahalli,Prime Plus,Canceled by Customer,223,
CNR6012739836,Ramamurthy Nagar,Prime Sedan,Driver Not Found,2989,
CNR3404012927,Chickpet,Mini,Success,728,4.3
CNR9282027845,Yeshwanthpur,Bike,Success,2416,3.1
CNR5508853708,Shivajinagar,Prime Plus,Canceled by Customer,371,
CNR4241139229,Kammanahalli,Prime Plus,Success,258,4.7
CNR8306274838,Bellandur,Bike,Driver Not Found,170,
CNR1903850514,Mysore Road,eBike,Canceled by Customer,151,
CNR1852948877,Yelahanka,Prime Sedan,Canceled by Driver,425,
CNR5744401218,Yelahanka,Bike,Success,220,3.4
CNR7221640450,RT Nagar,Prime Sedan,Success,472,3.3
CNR8395803905,Bannerghatta Road,eBike,Canceled by Driver,616,
CNR3750351374,Mysore Road,Prime SUV,Success,473,4.0
CNR2869164142,BTM Layout,Prime SUV,Success,259,4.8
CNR8303547069,Langford Town,Mini,Success,310,3.3
CNR7368110421,Peenya,Mini,Canceled by Driver,200,
CNR7500310853,Jayanagar,Prime Sedan,Success,471,3.5
CNR8925319975,Yelahanka,Prime Sedan,Success,442,4.1
CNR9261561390,Koramangala,Auto,Success,228,3.7
CNR3165383119,Devanahalli,Prime SUV,Canceled by Driver,232,
CNR7006798592,Ulsoor,Prime Sedan,Driver Not Found,344,
CNR5613886410,Marathahalli,Auto,Success,2604,3.8
CNR5841521780,Ramamurthy Nagar,Prime SUV,Success,274,3.1
CNR1281921513,Malleshwaram,Mini,Canceled by Customer,895,
CNR2959980296,Hosur Road,Bike,Success,279,4.5
CNR6765124275,Chamarajpet,Prime Sedan,Success,1946,3.0
CNR9762994658,RT Nagar,Prime Plus,Success,1024,4.8
CNR8072285783,Frazer Town,Prime Plus,Canceled by Customer,294,
CNR8116331340,RT Nagar,Auto,Success,252,4.0
CNR3491700602,Richmond Town,Mini,Success,2542,3.5
CNR2166456022,Yeshwanthpur,Mini,Success,1821,4.4
CNR2177201692,Richmond Town,Mini,Success,200,4.9
CNR5755482161,Koramangala,Prime SUV,Canceled by Driver,152,
CNR4484571820,HSR Layout,Auto,Success,2388,4.4
CNR7377461832,Ulsoor,eBike,Success,783,3.5
CNR2363111317,Electronic City,Prime Plus,Driver Not Found,208,
CNR2976802436,Tumkur Road,Prime SUV,Success,1181,3.4
CNR8474873609,HSR Layout,Prime Plus,Canceled by Customer,843,
CNR1945536909,Sahakar Nagar,Auto,Success,441,3.0
CNR8097291227,Mysore Road,Prime Plus,Success,332,3.8
CNR1433815646,Banashankari,Prime SUV,Success,832,3.4
CNR5876056264,Kadugodi,Prime SUV,Success,1361,4.0
CNR2943788515,Shantinagar,Bike,Canceled by Driver,415,
CNR5599931622,Peenya,Prime SUV,Success,747,3.8
CNR6776927575,Hosur Road,Bike,Success,129,4.4
CNR4880622143,Rajajinagar,eBike,Success,296,3.3
CNR2841702950,Sarjapur Road,Auto,Success,337,4.5
CNR2747846957,Majestic,Prime Sedan,Success,896,4.0
CNR4795488474,Peenya,Prime Sedan,Success,151,4.0
CNR6662649739,Ramamurthy Nagar,Auto,Success,940,3.2
CNR2524442918,Hulimavu,Prime Plus,Success,729,4.5
CNR4977956798,Banashankari,Auto,Success,128,4.6
CNR2002215420,Whitefield,Prime SUV,Success,274,4.0
CNR9590311980,Bannerghatta Road,Auto,Success,352,5.0
CNR3124565731,Basavanagudi,Auto,Success,238,4.5
CNR6090870401,Ramamurthy Nagar,Prime SUV,Success,477,4.1
CNR9405757355,Richmond Town,Auto,Success,186,4.7
CNR7078608984,Shantinagar,eBike,Driver Not Found,117,
CNR4166475803,Banashankari,Prime SUV,Success,193,3.8
CNR3641224150,Majestic,Mini,Success,395,4.3
CNR7307808711,MG Road,Prime SUV,Success,857,4.7
CNR9207534980,Whitefield,Prime Plus,Canceled by Driver,819,
CNR8478607960,Shivajinagar,Prime Sedan,Success,484,4.1
CNR6867991693,Bellandur,Prime Plus,Success,648,4.9
CNR4134417165,Ulsoor,Bike,Success,153,4.1
CNR6026842144,Bannerghatta Road,Prime SUV,Success,232,4.3
CNR1373400641,Shivajinagar,Mini,Canceled by Driver,478,
CNR7756361076,Koramangala,Auto,Canceled by Driver,850,
CNR1058833099,Frazer Town,Bike,Success,673,4.1
CNR8150133799,Chickpet,eBike,Driver Not Found,315,
CNR3136784868,Shivajinagar,Prime SUV,Success,1033,4.1
CNR2919641369,Tumkur Road,Prime SUV,Canceled by Customer,825,
CNR4311649934,Sahakar Nagar,Prime SUV,Canceled by Customer,213,
CNR8258871692,Peenya,Auto,Driver Not Found,125,
CNR7844432925,Electronic City,Prime SUV,Success,362,4.1
CNR3149119791,Hebbal,Mini,Success,471,3.5
CNR6545513695,Kengeri,Prime SUV,Success,163,4.3
CNR6427297269,Shivajinagar,Mini,Success,142,3.8
CNR1684336791,HSR Layout,Prime Plus,Canceled by Customer,451,
CNR8107628541,Peenya,Prime SUV,Canceled by Customer,358,
CNR8516392891,Shivajinagar,Prime Sedan,Success,365,4.9
CNR5043217856,Sarjapur Road,Auto,Canceled by Driver,752,
CNR7829903493,Indiranagar,eBike,Canceled by Driver,531,
CNR4290294193,Richmond Town,Auto,Canceled by Driver,111,
CNR4330381266,Banashankari,Auto,Success,216,4.4
CNR6146948780,Bannerghatta Road,eBike,Success,147,3.3
CNR4211386643,RT Nagar,eBike,Canceled by Driver,433,
CNR5828080027,Sarjapur Road,Prime Plus,Success,664,3.6
CNR5043719137,Banashankari,Mini,Success,159,4.0
CNR2332223815,Whitefield,Mini,Success,556,5.0
CNR5863244684,Hebbal,eBike,Success,184,4.3
CNR2051641681,Ulsoor,Auto,Success,295,3.5
CNR6963252366,Yeshwanthpur,Bike,Success,794,4.8
CNR6561084640,Kengeri,Bike,Success,330,4.0
CNR8606343558,Kadugodi,Bike,Success,187,4.9
CNR6129451090,Shantinagar,Prime Sedan,Success,487,3.6
CNR8991153488,Vijayanagar,eBike,Canceled by Driver,426,
CNR3555127202,Koramangala,Auto,Success,229,4.6
CNR2478670622,Hennur,Prime Plus,Success,445,4.9
CNR2637746164,Hebbal,Auto,Success,134,3.3
CNR1098685369,Basavanagudi,Auto,Success,119,4.2
CNR3013333422,Kadugodi,eBike,Driver Not Found,214,
CNR6731320458,Hosur Road,Prime Sedan,Success,113,4.9
CNR1523677800,Ramamurthy Nagar,Prime SUV,Canceled by Driver,362,
CNR5683291566,Sahakar Nagar,Prime SUV,Success,545,3.3
CNR9411398805,Padmanabhanagar,Prime Plus,Success,498,3.2
CNR7845975089,RT Nagar,Bike,Driver Not Found,117,
CNR3855977560,Hulimavu,Prime Sedan,Canceled by Driver,230,
CNR6774178719,KR Puram,eBike,Success,304,3.6
CNR4046969463,Koramangala,Prime Plus,Canceled by Driver,318,
CNR4475747544,Chickpet,Prime Sedan,Success,130,3.1
CNR5165798104,Bannerghatta Road,Bike,Success,419,4.7
CNR4392965412,Kammanahalli,Prime SUV,Canceled by Driver,399,
CNR1167401662,JP Nagar,Mini,Driver Not Found,2900,
CNR2822610940,Mysore Road,Bike,Success,121,4.2
CNR6691577601,MG Road,Prime Sedan,Success,107,3.5
CNR9445908039,Hosur Road,Mini,Canceled by Customer,424,
CNR3423157511,Electronic City,Bike,Canceled by Driver,307,
CNR1324239592,KR Puram,eBike,Success,583,4.5
CNR8086928686,Nagarbhavi,Mini,Canceled by Driver,325,
CNR3412387949,Majestic,Prime Sedan,Success,216,4.4
CNR9728294566,Indiranagar,Mini,Canceled by Driver,337,
CNR3797886537,KR Puram,Prime SUV,Success,373,4.6
CNR2918335042,Magadi Road,Bike,Canceled by Customer,121,
CNR7683288053,Vijayanagar,Prime Plus,Success,584,3.1
CNR7308621555,Sahakar Nagar,Mini,Canceled by Customer,372,
CNR6893200456,Whitefield,Prime SUV,Canceled by Driver,482,
CNR8506315424,Hosur Road,Mini,Canceled by Customer,169,
CNR6289456005,Malleshwaram,Bike,Driver Not Found,655,
CNR3652386033,Jayanagar,Bike,Success,398,3.3
CNR7500140086,Langford Town,Prime SUV,Success,198,3.3
CNR9206491878,Rajajinagar,Prime Sedan,Driver Not Found,482,
CNR1508971604,Hebbal,Prime Sedan,Success,305,3.8
CNR4004898445,Peenya,Mini,Canceled by Driver,294,
CNR8826275068,Richmond Town,Prime Sedan,Success,161,4.1
CNR9942066704,Yelahanka,Prime Sedan,Canceled by Driver,404,
CNR2361275900,Magadi Road,Auto,Success,169,4.7
CNR4419040819,Kengeri,Bike,Success,501,4.5
CNR1911058132,Mysore Road,Mini,Success,101,3.6
CNR8926984331,Kengeri,Auto,Success,192,4.6
CNR2191224963,Koramangala,Mini,Canceled by Driver,393,
CNR6024993831,Cox Town,eBike,Canceled by Customer,414,
CNR3704418934,Yeshwanthpur,Bike,Canceled by Customer,1816,
CNR6259704301,Jayanagar,Prime Sedan,Success,366,3.8
CNR4588889454,Rajarajeshwari Nagar,Prime SUV,Driver Not Found,417,
CNR9102117353,Cox Town,Prime Plus,Success,2884,3.8
CNR9855871509,RT Nagar,Prime Sedan,Canceled by Driver,371,
CNR6491202733,Magadi Road,Mini,Success,175,3.4
CNR1767970743,Peenya,Bike,Success,494,3.1
CNR6136026561,HSR Layout,eBike,Success,441,3.1
CNR7642653871,Banashankari,Prime Sedan,Success,471,4.4
CNR8369636566,Indiranagar,Prime Plus,Success,389,3.2
CNR8073437118,Hennur,eBike,Canceled by Driver,202,
CNR5116585243,Tumkur Road,Auto,Canceled by Driver,253,
CNR9699923253,Indiranagar,Prime SUV,Success,882,3.2
CNR1201589640,Banashankari,Prime Sedan,Canceled by Customer,176,
CNR1689403754,Devanahalli,Mini,Success,417,4.2
CNR1501229480,Banashankari,Mini,Success,130,3.5
CNR8602417067,Cox Town,Prime SUV,Success,235,3.7
CNR5180944150,Magadi Road,Prime Sedan,Success,325,4.7
CNR5569548787,Banashankari,Prime Plus,Success,290,4.8
CNR2826030097,Koramangala,Bike,Success,131,4.4
CNR4887495881,Chamarajpet,Prime SUV,Canceled by Customer,148,
CNR4946474476,Chamarajpet,Bike,Canceled by Customer,463,
CNR5414099759,Rajajinagar,Prime Sedan,Success,339,3.1
CNR2568139914,Whitefield,Prime SUV,Driver Not Found,314,
CNR8892975500,Rajarajeshwari Nagar,Bike,Success,512,3.1
CNR7552726236,Magadi Road,Prime Plus,Driver Not Found,443,
CNR1200026621,Chickpet,Prime SUV,Success,1467,4.7
CNR4187447284,Ramamurthy Nagar,Prime SUV,Driver Not Found,353,
CNR3659491874,KR Puram,Auto,Success,444,3.8
CNR3623533429,Basavanagudi,Prime Plus,Success,476,3.1
CNR3824632577,Sahakar Nagar,Bike,Canceled by Driver,142,
CNR2817233926,Kengeri,eBike,Success,471,4.9
CNR2091398962,Bannerghatta Road,eBike,Success,382,3.6
CNR5220085842,Rajajinagar,Prime Sedan,Canceled by Driver,401,
CNR9795770576,Yelahanka,Auto,Success,148,3.1
CNR4627809411,Shivajinagar,Auto,Success,204,4.8
CNR4003939102,Varthur,Mini,Success,666,4.5
CNR1308261538,Richmond Town,eBike,Success,425,4.8
CNR1556710084,RT Nagar,Prime Sedan,Success,172,3.1
CNR4639016703,Langford Town,Prime Plus,Success,398,4.9
CNR3136156514,Indiranagar,Prime Plus,Canceled by Customer,741,
CNR6635680436,Devanahalli,Prime Plus,Driver Not Found,446,
CNR6522259243,Tumkur Road,Prime Sedan,Canceled by Driver,315,
CNR9257492650,MG Road,Bike,Success,470,3.6
CNR9054081319,JP Nagar,Auto,Success,106,3.4
CNR3186546295,Koramangala,Prime Plus,Success,1468,4.7
CNR5237090288,Kadugodi,Prime SUV,Canceled by Driver,408,
CNR9526078867,HSR Layout,eBike,Success,1805,3.7
CNR2055496400,Mysore Road,Auto,Canceled by Customer,2925,
CNR1352748737,Hebbal,Prime Sedan,Driver Not Found,1048,
CNR8505998754,Marathahalli,Mini,Success,360,4.4
CNR3848737052,Varthur,Mini,Canceled by Customer,341,
CNR3022399674,Sarjapur Road,eBike,Success,310,3.1
CNR4201304521,Kammanahalli,eBike,Success,1289,4.4
CNR9511092010,Majestic,Mini,Success,1540,3.4
CNR8110334234,MG Road,Prime Plus,Success,745,3.8
CNR1820951934,Kammanahalli,Prime SUV,Canceled by Customer,459,
CNR3295449162,Indiranagar,Prime SUV,Success,313,3.4
CNR8642502474,Hebbal,Prime Sedan,Canceled by Driver,130,
CNR9405769135,Peenya,eBike,Success,517,3.6
CNR2179333461,Nagarbhavi,Bike,Success,332,4.4
CNR7446430391,Mysore Road,eBike,Success,496,4.4
CNR2050487810,Kengeri,Prime SUV,Canceled by Driver,145,
CNR9970948492,Kammanahalli,Prime Sedan,Success,229,3.0
CNR3011053515,Rajajinagar,Bike,Canceled by Driver,470,
CNR4591666574,Ulsoor,eBike,Success,278,3.5
CNR1610148184,Sahakar Nagar,Mini,Success,790,3.5
CNR4526799105,Cox Town,Prime SUV,Driver Not Found,941,
CNR7697944209,Jayanagar,Auto,Driver Not Found,2801,
CNR7154043084,Marathahalli,Auto,Success,525,3.0
CNR9283642129,RT Nagar,Prime SUV,Canceled by Driver,433,
CNR4676896526,Varthur,Auto,Canceled by Driver,376,
CNR1615053684,KR Puram,Mini,Success,346,3.7
CNR7734380067,Koramangala,Prime SUV,Canceled by Driver,260,
CNR4851775364,Jayanagar,Bike,Success,213,4.0
CNR7896256729,Banashankari,Mini,Success,286,4.2
CNR7042244136,Marathahalli,Prime Plus,Success,156,3.7
CNR7908519469,Nagarbhavi,eBike,Success,757,3.2
CNR1121889731,Devanahalli,Prime Sedan,Success,390,4.8
CNR3193710797,Padmanabhanagar,Prime Sedan,Success,976,4.3
CNR9772059065,Shantinagar,Bike,Success,683,4.7
CNR6820098709,Sahakar Nagar,eBike,Canceled by Driver,329,
CNR9590135968,Yeshwanthpur,eBike,Success,999,4.6
CNR4053893416,Vijayanagar,Auto,Success,283,3.4
CNR5706980210,Malleshwaram,eBike,Success,463,4.4
CNR8545338624,Electronic City,Auto,Success,353,4.7
CNR6792235623,Devanahalli,Prime Sedan,Driver Not Found,495,
CNR3347159067,Varthur,Auto,Success,292,4.6
CNR2200769825,Mysore Road,Prime Plus,Success,448,3.2
CNR8037382031,Indiranagar,Prime SUV,Canceled by Customer,103,
CNR8476582596,Richmond Town,Auto,Canceled by Driver,186,
CNR7073850950,Vijayanagar,Auto,Success,110,3.7
CNR6613464835,Whitefield,Mini,Canceled by Customer,173,
CNR7956960667,Nagarbhavi,Prime Plus,Success,512,4.9
CNR3469722999,Jayanagar,Prime SUV,Driver Not Found,2005,
CNR9952584604,Hosur Road,Bike,Success,238,4.7
CNR5433575259,Indiranagar,Prime Sedan,Success,1921,3.3
CNR3797151024,KR Puram,Mini,Driver Not Found,296,
CNR1888228418,Kadugodi,eBike,Success,499,4.8
CNR6094620721,JP Nagar,Prime Plus,Success,525,4.3
CNR2029679396,Peenya,Prime Plus,Success,308,4.7
CNR5108136862,Chickpet,Prime SUV,Canceled by Customer,118,
CNR9998375791,Hosur Road,Mini,Success,164,3.6
CNR7197746515,Banashankari,Mini,Canceled by Driver,228,
CNR3914143185,Kadugodi,Bike,Canceled by Customer,326,
CNR4970390019,MG Road,Bike,Driver Not Found,849,
CNR4643101961,RT Nagar,Prime Sedan,Success,678,4.6
CNR9462510170,Mysore Road,Prime Plus,Canceled by Customer,431,
CNR3791458762,Malleshwaram,Prime Sedan,Success,235,4.0
CNR6755458210,Magadi Road,Mini,Success,223,5.0
CNR6729349884,Bellandur,Prime SUV,Success,445,3.2
CNR3435305950,Hulimavu,Prime Sedan,Success,601,3.7
CNR2586365783,Chamarajpet,eBike,Canceled by Driver,198,
CNR3475649716,JP Nagar,Prime Sedan,Canceled by Driver,358,
CNR1463816868,HSR Layout,Prime SUV,Success,492,4.5
CNR1412682969,Electronic City,Prime SUV,Success,280,4.1
CNR5341551432,Hebbal,Mini,Canceled by Customer,233,
CNR5793610952,KR Puram,Bike,Success,984,3.9
CNR1072231824,Ramamurthy Nagar,Auto,Success,100,3.5
CNR1799581315,Varthur,Mini,Canceled by Customer,1899,
CNR9707279332,Rajarajeshwari Nagar,Prime Sedan,Success,833,3.3
CNR2270293390,Marathahalli,eBike,Success,435,4.1
CNR3950192876,Yelahanka,Mini,Driver Not Found,1703,
CNR9406709395,Ulsoor,Auto,Success,484,4.0
CNR8975176661,Rajarajeshwari Nagar,Auto,Success,680,3.8
CNR5071594520,KR Puram,Bike,Success,229,3.1
CNR2377184626,Devanahalli,Prime Plus,Driver Not Found,609,
CNR3575066041,Shivajinagar,Prime SUV,Success,181,3.3
CNR2930589148,Kadugodi,eBike,Success,717,4.9
CNR7831208502,RT Nagar,Auto,Success,262,3.5
CNR8629694130,Electronic City,Prime SUV,Canceled by Driver,158,
CNR8827885570,Shantinagar,Prime SUV,Success,231,4.8
CNR1502301342,Chamarajpet,Bike,Success,246,3.9
CNR1372123891,Cox Town,Prime SUV,Canceled by Customer,228,
CNR3907697108,Bellandur,Prime SUV,Success,427,3.5
CNR2390405629,MG Road,Mini,Success,305,3.2
CNR5914410116,MG Road,Prime SUV,Success,270,4.3
CNR9545114159,BTM Layout,Prime Plus,Canceled by Driver,1501,
CNR4224138624,Kadugodi,eBike,Success,489,3.7
CNR5217934339,Electronic City,Prime SUV,Success,791,5.0
CNR6744298420,Hebbal,Auto,Canceled by Driver,400,
CNR7537935962,Shantinagar,eBike,Success,460,3.6
CNR6035356524,Rajarajeshwari Nagar,Auto,Canceled by Driver,354,
CNR4079474864,Peenya,Prime Sedan,Success,2047,3.0
CNR4597527178,Ramamurthy Nagar,Prime Plus,Canceled by Driver,418,
CNR1983010766,Whitefield,Prime Plus,Success,2655,3.3
CNR4517742155,KR Puram,Prime Plus,Canceled by Driver,364,
CNR4679441912,JP Nagar,Bike,Success,2655,3.1
CNR1076402213,Kengeri,Mini,Success,828,4.1
CNR6208623380,Chickpet,eBike,Success,276,4.4
CNR3629707818,Hulimavu,eBike,Canceled by Customer,2712,
CNR5856350738,MG Road,Prime SUV,Success,379,4.7
CNR2780804227,Hebbal,Prime SUV,Driver Not Found,316,
CNR7556753006,Langford Town,Mini,Canceled by Customer,303,
CNR2722435581,Padmanabhanagar,Mini,Success,323,4.2
CNR9290227906,Vijayanagar,Prime Sedan,Canceled by Driver,840,
CNR1347489072,Hennur,eBike,Success,676,3.6
CNR7720291436,Shantinagar,Prime SUV,Success,387,4.4
CNR6838162057,Ulsoor,Prime Plus,Success,349,4.9
CNR6166016638,Sahakar Nagar,Prime SUV,Canceled by Customer,743,
CNR8406580820,Banashankari,Auto,Success,173,4.3
CNR5947910660,Rajajinagar,Auto,Success,105,4.5
CNR8113882660,JP Nagar,Prime SUV,Success,552,4.5
CNR3789535898,Marathahalli,Mini,Canceled by Driver,313,
CNR9181242940,Hebbal,Mini,Canceled by Customer,424,
CNR6438361240,Richmond Town,Auto,Success,493,3.8
CNR8478583704,Frazer Town,Prime SUV,Canceled by Driver,394,
CNR5495479048,Sarjapur Road,Auto,Success,2890,4.1
CNR1747667235,Bannerghatta Road,Prime Sedan,Canceled by Driver,135,
CNR8742059228,Langford Town,eBike,Canceled by Driver,179,
CNR2249500651,Tumkur Road,Prime SUV,Success,280,4.5
CNR3015771885,Vijayanagar,Prime SUV,Success,354,4.6
CNR9742204042,Shivajinagar,Prime Sedan,Success,439,4.4
CNR5414088243,Banashankari,Auto,Driver Not Found,645,
CNR5897488662,Bannerghatta Road,Auto,Success,264,3.6
CNR8097977794,Kadugodi,Auto,Success,445,3.9
CNR7665734704,Mysore Road,Prime Plus,Success,399,4.4
CNR3295803854,Indiranagar,Prime Plus,Success,496,5.0
CNR1857015366,Cox Town,Auto,Driver Not Found,872,
CNR6533526552,Yelahanka,Auto,Canceled by Customer,346,
CNR4196099018,Cox Town,Auto,Driver Not Found,387,
CNR6151870263,Shantinagar,Prime Plus,Driver Not Found,247,
CNR4877674130,RT Nagar,Auto,Success,767,4.3
CNR3535977567,Kammanahalli,Prime Sedan,Success,203,4.4
CNR9380992083,Banashankari,Prime Sedan,Success,658,3.5
CNR2409982110,RT Nagar,Auto,Success,366,4.1
CNR1744423480,Indiranagar,Bike,Canceled by Customer,229,
CNR8089487405,Ulsoor,Prime Sedan,Success,319,3.2
CNR9791595498,Padmanabhanagar,Mini,Canceled by Customer,415,
CNR3216137549,Langford Town,Prime SUV,Success,775,4.2
CNR7433975344,Shivajinagar,Auto,Success,396,3.6
CNR2752149819,Ulsoor,Mini,Success,411,3.0
CNR7450856558,Chickpet,Prime Sedan,Success,168,4.9
CNR7687168562,RT Nagar,Prime Plus,Canceled by Customer,499,
CNR2616039565,Kengeri,Prime Sedan,Canceled by Customer,342,
CNR9013990430,Shantinagar,Prime Plus,Success,460,4.8
CNR6403693064,Hebbal,Auto,Driver Not Found,812,
CNR7512638761,Chamarajpet,Prime Plus,Canceled by Driver,651,
CNR9577062720,BTM Layout,Prime Sedan,Success,217,3.7
CNR3021914528,Padmanabhanagar,eBike,Canceled by Driver,252,
CNR9495436958,Cox Town,Prime Plus,Success,790,3.5
CNR6179732934,Kammanahalli,Prime Plus,Driver Not Found,285,
